label,Quotes
BOOKER,"[' Because of a massive diminution. A lot of reasons, but there was a massive diminution in the African-American vote. We need to have someone that can inspire, as Kamala said, to inspire African-Americans to the polls in record numbers.']"
BUTTIGIEG,"[' And I believe we need to send somebody in who has a different kind of experience, the experience on the ground, solving problems, working side by side with neighbors on some of the toughest issues that come up in government, recognizing what is required of executive leadership, and bringing that to Washington so that Washington can start looking a little more like our best-run communities in the heartland before the other way around starts to happen.']"
KLOBUCHAR,"[' So I went to the legislature, our state legislature, not an elected official, a mom, and I advocated for one of the first laws in the country guaranteeing new moms and their babies a 48-hour hospital stay. And when they tried to delay the implementation of that law, I brought six pregnant friends to the conference committee, so they outnumbered the lobbyists two to one. And when they said, “When should it take place?” They all raised their hand, and said, “Now.” That is what motivated me to go into public service and when I got to that gridlock of Washington DC, I got to work and pass over 100 bills and I know a lot of my friends here are from the left, but remember, I am from the middle of the country. And I believe if we’re going to get things done that we have to have someone leading the ticket with grit. Someone’s going to not just change the policies. But change the tone in the country and someone who believes in America and believes it from their heart because of where they came from, that everyone should have that same opportunity.']"
KLOBUCHAR,"[' I would codify Roe v. Wade and make it the law of the land. But what I want to do right now is just say what if Donald Trump was standing up here on the debate stage with me? You know what I would say to him? I said, you knew, you said you wanted to do this in your race for president. You actually said that you wanted to put women in jail. Then you tried to dial it back and you said you wanted to put doctors in jail. That is exactly what the Alabama law is, it put doctors in jail for 99 years. You, Donald Trump, are not on the side of women. You are not on the side of people of this country when over 75% of people want to keep Roe v. Wade on the book, when over 90% of people want to make sure we have available contraception. You de-funded Planned Parenthood, I would fund it again.']"
CASTRO,"[' And thank you George Stephanopoulos, to Jorge, to Linsey and to David and to all of you all for tuning in tonight. In many ways I shouldn’t be here on this stage. Castro is my mother’s name and was my grandmother’s name before her. I grew up in a single parent household, on the west side of San Antonio, going to the public schools. Eventually my brother Joaquin and I became the first in our family to become professionals, and when I got home, I took a job at the biggest law firm in town. I was making $100,000 a year in the year 2000, a few months later, I got elected to the San Antonio City Council, and the City Council at the time was only paying $1,040 a year, so everybody had another job, and my job was at the law firm.']"
SANDERS,"[' We need a healthcare system that guarantees healthcare to all people, as every other major country does. Not a system which provides $100 billion a year in profit for the drug companies and the insurance companies. And to tell you how absurd the system is tonight on ABC, the healthcare industry will be advertising, telling you how bad Medicare for All is, because they want to protect their profits. That is absurd.']"
SANDERS,"[' I think that what we have got to do is bring this world together, bring it together on climate change, bring it together in fighting against terrorism, and make it clear that we, as a planet, as a global community, will work together to help countries around the world rebuild their struggling economies and do everything that we can to rid the world of terrorism. But dropping bombs on Afghanistan and Iraq was not the way to do it.']"
SANDERS,"[' Matter of fact, I do. But before I get into that, the major issue that we don’t talk about in Congress, we don’t talk about in the media, is the massive level of income and wealth inequality in America. You got three people who own more wealth than the bottom 90%. You have a top 1% that owns more wealth than the bottom 92%. 49% of all income goes to the top 1%. Companies like Amazon and billionaires out there do not pay one nickel in federal income tax. And we’ve got 500,000 people sleeping out on the street. What we need is a political revolution that tells these billionaires and corporate America that they are Americans, they’ll participate in our society, but they have got to start paying their fair share of taxes, period.']"
STEYER,"[' When you look at inequality in the United States of America, you have to start with housing. Where you put your head at night determines so many things about your life. It determines where your kids go to school, it determines the air you breathe, where you shop, how long it takes you to get to work. What we’ve seen in California is as a result of policy, we have millions too few housing units, and that affects everybody in California. It starts with a homeless crisis that goes all through the state, but it also includes skyrocketing rents that affect every single working person in the state of California.']"
BIDEN,"[' Well, they have to deal with the… Look, there is institutional segregation in this country. And from the time I got involved, I started dealing with that. Redlining banks, making sure that we are in a position where… Look, talk about education, I propose that what we take is those very poor schools, the title 1 schools. Triple the amount of money we spend from $15 to $45 billion a year, give every single teacher a raise, a equal raise, of getting out of $60,000 level. Number two, make sure that we bring in to help… The teachers deal with the problems that come from home, the problems that come from home. We have one school psychologist for every 1,500 kids in America today.']"
KLOBUCHAR,"[' Yes. What is broken is a political system that allows the NRA and other large, big money to come in and make things not happen when the majority of people are for it. The people are with us now. After Parkland, those students just didn’t march. They talked to their dads and their grandpas and the hunters in their family, and they said, “There must be a better way.” Then we elected people in the House of Representatives, and guess what? It changed. And they passed universal background checks. And now that bill is sitting on Mitch McConnell’s doorstep because of the money and the power of the NRA. As president, I will take them on.']"
KLOBUCHAR,"[' Everyone wants to get elected. But my point is this, I think, when we have a guy in the White House that has now told over 10,000 lies, that we better be very straightforward with the American people. And no, do I think that we are gonna end up voting for a plan that kicks half of America off of their current insurance in four years? No, I don’t think we’re gonna do that. I think there is a better way to get what we all wanna see which is lower costs for healthcare. Do I think that we’re gonna vote to give free college to the wealthiest kids? No, I don’t think we’re gonna do that. So that’s what I’m talking about. But what I don’t like about this argument right now, what I don’t like about it at all, is that we are more worried about winning an argument than winning an election.']"
BIDEN,"[' And it was later when we came into office, that Barack, the president turned to me and said, “Joe… ” when they said we got to plan to get out, he turned to the whole security, and said, “Joe will organize this. Get the troops home.” My son spent a year in Iraq, and I understand, and we were right to get the combat troops out. The big mistake that was made, which we predicted, was that you would not have a circumstance where the Shia and the Kurds would work together to keep ISIS from coming, from moving in.']"
STEYER,"[' I understand exactly what needs to be done here, which is we need to change policy and we need to apply resources here to make sure that we build literally millions of new units. But the other thing that’s going to be true about building these units is we’re going to have to build them in a way that’s sustainable. That, in fact, how we build units, where people live, has a dramatic impact on climate and on sustainability. So, we are going to have to direct dollars, we’re going to have to change policy and make sure that the localities and municipalities who’ve worked very hard to make sure that there are no new housing units built in their towns, that they have to change that and we’re going to have to force it and then we’re going to have to direct federal dollars to make sure that those units are affordable so that working people can live in places and not be spending 50% of their income on rent.']"
GABBARD,"[' Thank you. You know, really what this is about is getting to the heart of the fear that is well-founded. As people look to this automation revolution, they look to uncertainty. They don’t know how this is going to affect their jobs and their everyday lives. And I agree with my friend Andrew Yang. I think universal basic income is a good idea to help provide that security so that people can have the freedom to make the kinds of choices that they want to see. This has to do with bad trade deals that we’ve seen in the past, that have also driven fear towards people losing the way that they provide for their families. Really what we need to do is look at how we can best serve the interests of the American people. I do not believe a federal jobs guarantee is the way to do that. The value that someone feels in themselves and their own lives is not defined by the job that they have, but is intrinsic to who we all are as Americans, whatever we choose to do with our lives, and we can’t forget that.']"
SANDERS,"[' Yeah, okay. You’re looking, I believe, at the only member of Congress who not only voted against these disastrous trade agreements, NAFTA, PNTR with China, which cost us over 4 million jobs, but also help lead the effort against these agreements. Now, Elizabeth is absolutely right. If anybody here thinks that corporate America gives one damn about the average American worker, you’re mistaken. If they can save $0.05 cents by going to China, Mexico, or Vietnam, or any place else, that’s exactly what they will do. As president, let me tell you what I will do. These guys line up at the federal trough, they want military contracts, they want all kinds of contracts. Well, under my administration, you ain’t gonna get those contracts if you throw American workers out on the streets.']"
SANDERS,"[' David, let me answer that, but let me just comment on something that the Vice President said. You talked about the big mistake in Iraq and the surge. The truth is, the big mistake, the huge mistake, and one of the big differences between you and me, I never believed what Cheney and Bush said about Iraq.']"
SANDERS,"[' Joe said that Medicare for All will cost over $30 trillion. That’s right, Joe. Status quo over 10 years, will be $50 trillion. Every study done shows that Medicare for All is the most cost-effective approach to providing healthcare to every man, woman and child in this country. I who wrote the damn bill, if I may say so, intend to eliminate all out-of-pocket expenses, all deductibles, all co-payments. Nobody in America will pay more than $200 a year for prescription drugs, because we’re going to stand up to the greed and corruption and price-fixing of the pharmaceutical industry.']"
CASTRO,"[' And it was the first test that I had. And I think back to that because oftentimes we think of politics and you think of politics as dirty or corrupting. I wondered, before I went in, whether it would change who I was, and I was proud that when that first test came that I stood up for the people that I was there to represent and not for big special interests. There’s nobody that gets tested more in a position of public trust than the President of the United States. This President has failed that test. But I want you to know that if you elect me President, I won’t, I won’t serve anybody except you and your family. And together, we can create an America that’s better than ever. Thank you very much.']"
KLOBUCHAR,"[' Yeah, I would like to have a different take on this. I was in the private sector for 14 years, represented companies that were fighting to get into the telecom market. I had a life before government and what I saw was when we got more competition there, the prices went down in a big way, in the long distance market. Well, right now, we have another Gilded Age going on, and I am the lead Democrat on the antitrust committee. I have the lead legislation, which means one, changing the standard so we can do a better job of doing just what we’ve been talking about here, is breaking down some of these consolidation and also making sure that the enforcers have the resources to take them on because they’re so overwhelmed. But the issue here is this, start talking about this as a pro-competition issue, this used to be a Republican and Democratic issue, because America, our founding fathers actually wanted to have less consolidation. We were a place of entrepreneurship. We are seeing a start-up slump in this country and this means everything from tech on down.']"
BOOKER,"[' And so these are the kind of issues that mean a lot to our community, and if we don’t have somebody authentically… We lost the last election. Let me just give you this data example. We lost in Wisconsin…']"
BUTTIGIEG,"[' I also wore the uniform of this country and know what is at stake in the decisions that are made in the Oval Office and in the Situation Room. And I know how to bring people together to get things done. I know that from the perspective of Washington, what goes on in my city might look small, but frankly, where we live, the infighting on Capitol Hill is what looks small. The usual way of doing business in Washington is what looks small.']"
KLOBUCHAR,"[' My challenges, and resilience have brought me up here. I grew up with a dad who struggled with alcoholism his whole life, and after his third Dave WeigelI, he had a choice between jail and treatment. He chose treatment, with his faith, with his friends, with our family and in his words, he was pursued by grace. And that made me interested in public service, because I feel like everyone should have that same right to be pursued by grace. And then got married, my husband’s out there somewhere, hopefully smiling, and our daughter and our daughter was born. I had this expectation we were going to have this perfect, perfect birth and she was really sick. And she couldn’t swallow and she was in and out of hospitals for a year-and-a-half, but when she was born, they had a rule in place that you got kicked out of the hospital in 24 hours. She was in intensive care and I was kicked out, and I thought, “This could never happen to any other mom again.”']"
BUTTIGIEG,"[' That era must be characterized not by exclusion, but by belonging. And so must our campaign. I am inviting progressives who have agreed on these issues we’ve been talking about tonight all along, moderates who are ready to be part of this coalition, and a lot of future former Republicans who I know are watching this, disgusted by what is happening in their own party and in this country. I want you to know that everybody is welcome in this movement that we’re building, and everybody is welcome in this future that we must create. I hope you go to peteforamerica.com, join this effort and help us create a better era for the American people beginning in November 2020.']"
YANG,"[' First, I want to thank all the voters tuned in at home. If you don’t feel like you answered your question… You got your question answered tonight it’s understandable, there are 12 of us. I’m going to be answering voter questions for 10 straight hours this Friday. My website yang2020.com, and if you ask your question tonight there’s a better chance I’ll get to it. My surprising friendship, it’s been so much fun running for president because I’ve gotten to meet so many Americans I never would have gotten to meet otherwise. The friendship that sticks out for me is a guy named Fred, who’s an average Trump supporter, a trucker, he let me ride in his truck for hours. He spent some time in jail, I heard about his experiences, trying to get other people off of drugs and I’m happy to say that after our ride together he actually said that he would move from Donald Trump to my campaign, which was a thrill for me and we’ve remained in touch ever since.']"
WARREN,"[' We need… I want to add one more part on this because I think we have to look at all the pieces. Why do we have a crisis at the border, in no small part because we have withdrawn help from people in Central America who are suffering. We need to restore that help, we need to help establish and re-establish the rule of law, so that people don’t feel like they have to flee for their lives. We have a crisis that Donald Trump has created and hopes to profit from politically. We have to have the courage to stand up and fight back.']"
WARREN,"[' Well, and one way to fix it is to decriminalize, that’s the whole point. What we’re looking for here is a way to take away the tool that Donald Trump…']"
OROURKE,"[' The answer is no, the middle class will not pay more in taxes in order to ensure that every American is guaranteed world-class healthcare. I think we’re being offered a false choice. Some who want to improve the Affordable Care Act at the margins, others who want a Medicare for All program that will force people off of private insurance. I have a better path. Medicare for America, everyone who’s uninsured is enrolled in Medicare tomorrow. Those who are insufficiently insured are enrolled in Medicare.']"
WARREN,"[' What the Congressman is describing as extreme is having deals that are negotiated by American workers for American workers. American workers want those jobs and we can build the trade deals that do it. People want access to our markets all around the world. Then the answer is, let’s make them raise their standards. Make them pay their workers more, let their workers unionize, raise their environmental standards before they come to us and say they wanna be able to sell their products. Right now, the whole game is working for the big multinationals. It’s just not working for the people here in the United States, and we can change that.']"
BOOKER,"[' Our criminal justice system is so savagely broken. There’s no difference in America between blacks, whites and Latinos for using drugs, or dealing drugs, but if you’re African-American, you’re almost four times more likely to be arrested and incarcerated, destroying your lives. And so much of this comes down to privilege. We have a criminal justice system that Brian Stevenson says treats you better if you’re rich and guilty, than if you’re poor and innocent. And so, I have challenged this whole field. We can specifically and demonstrably now show that there are 17,000 people unjustly incarcerated in America and all of us should come forward and say, “When we are President of the United States, when I am President of the United States, we will release them,” and let me be specific.']"
BOOKER,"[' There are a lot of people watching at home right now, listening to us, that are afraid because they are in crisis, they don’t have health insurance, their health insurance doesn’t go far enough, they can’t afford their prescription drugs. Look, I’m clear in what I believe. I believe in Medicare for All. I believe it’s the best way to rationalize the system, but dear God, I know that every one of my colleagues on this stage is in favor of universal health coverage and comes at this with the best of intentions. And I’ll tell you, there is an urgency right now, in this nation, everybody feels it. And as a person who has an ideal, I know we cannot sacrifice progress on the altar of purity. Because people in my community, they need help right now. They have high blood pressure right now. They have unaffordable insulin right now. And this must be a moment where we as Democrats can begin to show that we cannot only stake and stand our ground, but find common ground, because we’ve got one shot to make Donald Trump a one-term president, and we cannot lose it, by the way we talk about each other or demonize and degrade each other. We can walk and chew gum at the same time. If I am the leader, I will work towards the ideal of health insurance, health coverage being a right for all Americans, but every single day I’ll join with other Democrats to make progress happen in our nation for the people that are struggling and suffering today.']"
WARREN,"[' Because it makes the world safer. The United States is not going to use nuclear weapons preemptively and we need to say so to the entire world. It reduces the likelihood that someone miscalculates, someone misunderstands. Our first responsibility is to keep ourselves safe. And what’s happening right now with Donald Trump as they keep expanding the different ways that we have nuclear weapons, the different ways that they could be used, puts us all at risk. We talk about what’s happening around the world. I have three older brothers who served in the military, I see that they would do anything. Our military is the best on earth but we should not be asking our military to take on jobs that do not have a military solution. We need to use our diplomatic tools, our economic tools and if we’re gonna send someone into war, we better have a plan for how we’re gonna get them out on the other end.']"
OROURKE,"[' Every estimate that I’ve seen of expanding Anderson CooperA even through a public option still leaves millions of people uninsured and also means that people are not guaranteed the healthcare that they need, as the example, that Elizabeth Warren showed us. Our plan ensures that everyone is enrolled in Medicare or can keep their employer-sponsored insurance. When we listen to the American people, and this is what they want us to do, they want everyone covered, but they want to be able to maintain choice.']"
WARREN,"[' So we have to think of this in terms of the big frame, what’s the problem in Washington, it works great for the wealthy, it works great for those who can hire armies of lobbyists and lawyers, and it keeps working great for the insurance companies and the drug companies. What it’s going to take is real courage to fight back against them. These insurance companies do not have a God-given right to make $23-billion in profits and suck it out of our healthcare system.']"
YANG,"[' As usual, Elizabeth Warren is 100% right in diagnosing the problem. There are absolutely excesses in technology and in some cases having them divest parts of their business is the right move. But we also have to be realistic that competition doesn’t solve all of the problems. It’s not like any of us wants to use the fourth best navigation app. That would be like cruel and unusual punishment. There is a reason why no one is using Bing today.']"
YANG,"[' We need to lighten up the emphasis on standardized tests which do not measure anything fundamental about our character or human worth. But here’s the big one, the data clearly shows that 65% to 70% of our students’ outcomes are determined outside of the school. We’re talking about time spent at home with the parents, words read to them when they’re young, stress levels in their house, income, type of neighborhood, we’re putting money into schools, and educators know this, we’re saying you’re 100% responsible for educating our kids but you can only control 30%, they all know this. The answer is to put money directly into the families and neighborhoods to give our kids a chance to learn and our teachers a chance to teach.']"
BOOKER,"[' When I asked him why, why he did what he did, he told me that on March 7th, 1965, he was watching a movie called Judgment at Nuremberg on TV, and they interrupted that movie to show a bridge in Alabama called the Edmund Pettus Bridge. And there he saw John Lewis and other marchers who were beaten viciously by Alabama state troopers. We all owe a debt that we cannot repay. We all drink deeply from wells of freedom and liberty that we did not dig. This is the moment in America where we need a leader that can inspire us to get up and fight again. That we have truly a moral moment in America, like it was back in 1965. If you give me a chance to lead, I will cause what John Lewis says is good trouble. I will challenge us, I will ask more from you than any other president has ever asked before because we…']"
KLOBUCHAR,"[' Well, I want to thank her for this question. This is something that should never have happened to begin with. I remember when I was a prosecutor, these were not the kind of cases that were coming in our door, and it’s gotten worse and worse, and we now know why. As the evidence is coming out of those lawsuits, probably one of the most horrible things that I saw was the email from one of the pharma executives that actually said, “Keep pumping them out, they’re eating them like Doritos.”']"
KLOBUCHAR,"[' What we’ve got right now, though, George Stephanopoulos, it’s not a focused tariff on steel. What he has done here, he has assessed these tariffs on our allies. He has put us in the middle of this trade war, and he is treating our farmers and our workers like poker chips in one of his bankrupt casinos. And if we are not careful, he is going to bankrupt this country.']"
BOOKER,"[' And so that’s what’s on the ballot. And issues do matter. I have a lot of respect for the Vice President. He has sworn me into my office as a hero. This week, I hear him literally say that I don’t think we should legalize marijuana. I thought you might have been high when you said it.']"
CASTRO,"[' Well, I think what folks have said is that that is only part of the issue, right? I believe that we need to address communities that are being impacted by automation. I’m even willing to pilot something like UBI and to see how that would work. But I think we need to focus on making sure that we spark job opportunity for people across this country. As I mentioned earlier, here in Ohio, in the latest job data, Ohio was losing jobs under Donald Trump. He has broken his promises to Ohio and the industrial Midwest. I would invest in infrastructure to put people back to work. I would invest in a Green New Deal to unleash millions of new jobs in a clean energy economy. I was in Newton, Iowa a few weeks ago and I visited a place called TPI. Newton, Iowa had a Maytag washing machine manufacturing facility, and then it closed down. TPI manufactures wind turbines. They’re putting hundreds of people to work in decent paying jobs and creating a better future for those families. On top of that, let me just say this. We need to support working families. We need to invest in things like…']"
SANDERS,"[' Well, first of all, let me be very clear. Anybody who does what Maduro does is a vicious tyrant. What we need now is international and regional cooperation for free elections in Venezuela, so that the people of that country can make and can create their own future. In terms of democratic socialism, to equate what goes on in Venezuela with what I believe is extremely unfair. I’ll tell you what I believe in, in terms of democratic socialism. I agree with what goes on in Canada and in Scandinavia, guaranteeing healthcare to all people as a human right.']"
SANDERS,"[' Yeah, but Americans don’t want to pay twice as much as other countries, and they guarantee healthcare to all people. Under my Medicare for All proposal, when you don’t pay out-of-pocket and you don’t pay premiums, maybe you’ve run into people love their premiums, I haven’t. What people want is cost-effective healthcare, Medicare for All will save the average American substantial sums of money on his or her healthcare.']"
BIDEN,"[' Yeah, well, look, we’re either going to make a policy or China is going to make the trade, the rules of the road. We make up 25% of the world economy. We need another 25% to join us. And I think Elizabeth Warren’s correct. At the table has to be labor and at the table have to be environmentalists. The fact of the matter is China, the problem isn’t the trade deficit; the problem is they’re stealing our intellectual property. The problem is they’re violating the WTO. They’re dumping steel on us. That’s a different issue than whether or not they’re dumping agricultural products on us. In addition to that, we’re in a position where if we don’t set the rules, we, in fact, are going to find ourselves with China setting the rules. And that’s why you need to organize the world to take on China to stop the corrupt practices that are underway.']"
GABBARD,"[' As president, I will end these regime change wars by doing two things', ' Ending the draconian sanctions that are really a modern-day siege, the likes of which we are seeing Saudi Arabia wage against Yemen, that have caused tens and thousands of Syrian civilians to die and to starve. And I would make sure that we stop supporting terrorists like Al-Qaeda in Syria who’ve been the ground force in this ongoing regime change war.']"
STEYER,"[' What I’ve done is to try to push power down to the America people, to take power away from the corporations who’ve bought our government. And I’m talking now about structural reform in Washington DC. Term limits. If you want bold change in the United States, you’re going to have to have new and different people in charge. I’m the only person on this stage who will talk about term limits. Joe Biden won’t. Bernie Sanders won’t. Even Pete Buttigieg will not talk about term limits and structural change. I would let the American people pass laws themselves through direct democracy. It’s time to push the power back to the people and away from DC.']"
BIDEN,"[' I would not have withdrawn the troops and I would not have withdrawn the additional thousand troops who are in Iraq, which are in retreat now, being fired on by Assad’s people. And the president of the United States saying, if those ISIS folks escape from the prisons they’re in, they’ll only go to Europe and won’t affect us.']"
KLOBUCHAR,"[' And it is an issue for union jobs. And so I think what we need to do is not have a president that’s promised he was going to do that on election night, if anyone remembers. And then he hasn’t followed through. He has done nothing. He blew up a meeting at the White House. I would put $1 trillion into this, and I would pay for it by, first of all, changing the capital gains rate by doing something when it comes to that regressive tax bill that left everyone behind, but really made his Mar-a-Lago friends richer, as he promised. And I would take that money and put it in to rural broadband and green infrastructure so you won’t have what you just saw in Detroit with the Jefferson Chalmers neighborhood, the African neighborhood, that was African-American neighborhood that was most hit when you had those recent rainstorms. And I truly believe that if we’re gonna move on infrastructure and climate change, you need a voice from the heartland.']"
KLOBUCHAR,"[' Thank you, Dana Bash, and I was just in Flint and they are still drinking bottled water in that town and that is outrageous. So my plan, and I am the first one that came out with an infrastructure plan, and I did that because this is a bread and butter issue. It’s a bread and butter issue for people that are caught in traffic jams. I think the governor here in Michigan smartly ran on the slogan, “Fix the damn roads.”']"
BIDEN,"[' It has been the most shameful thing that any president has done in modern history, excuse me, in terms of foreign policy. And the fact of the matter is, I’ve never seen a time… And I spent thousands of hours in the situation room. I’ve spent many hours on the ground in those very places, in Syria and in Iraq. And guess what? Our commanders across the board, former and present, are ashamed of what’s happening here. What I would do is I would be making it real clear to Assad that, in fact, where he’s going to have a problem, because Turkey is the real problem here. And I would be having a real lock-down conversation with Erdoğan and letting him know that he’s going to pay a heavy price for what he has done. Now, pay that price.']"
GABBARD,"[' Well, first of all we’ve got to understand the reality of the situation there, which is that the slaughter of the Kurds being done by Turkey is yet another negative consequence of the regime change war that we’ve been waging in Syria. Donald Trump has the blood of the Kurds on his hand, but so do many of the politicians in our country from both parties who have supported this ongoing regime change war in Syria that started in 2011, along with many in the mainstream media who have been championing and cheerleading this regime change war. Not only that, but the New York Times and CNN have also smeared veterans like myself for calling for an end to this regime change war. Just two days ago, the New York Times put out an article saying that I’m a Russian asset and an Assad apologist and all these different smears. This morning, a CNN commentator said on national television that I’m an asset of Russia, completely despicable.']"
STEYER,"[' I have been doing exactly what my parents taught me to do, which is to take on the biggest problems in America directly and fight for them every single day.']"
BIDEN,"[' No, it wasn’t wrong to pull out, but I want to answer the Afghanistan question. I’ve been in and out of Afghanistan, not with a gun, and I admire my friend for his service, but I’ve been in and out of Afghanistan I think more than anybody on this… And it’s an open secret. You reported a long time ago, George Stephanopoulos, that I was opposed to the surge in Afghanistan. The whole purpose of going to Afghanistan was to not have a counter insurgency, meaning that we’re going to put that country together. It cannot be put together. Let me say it again, it will not be put together. It’s three different countries. Pakistan owns the three counties… The three provinces in the east. They’re not any part of it, the Haqqanis run it. I will go on and on, but here’s the point. The point is that it’s a counter-terrorism strategy. We can prevent the United States from being the victim of terror coming out of Afghanistan by providing for bases, insist the Pakistanis provide bases for us to airlift from, and to move against what we know. We don’t need those troops there. I would bring them home. And Joe Dunford’s a fine guy, but this has been an internal argument we’ve had for eight years.']"
SANDERS,"[' George Stephanopoulos, you talked about, was it 150 million people on private insurance? 50 million of those people lose their private insurance every year when they quit their jobs or they go unemployed or their employer changes their insurance policy. Medicare for All is comprehensive healthcare, covers all basic needs, including home healthcare. It allows you to go to any doctor you want, which many private insurance company programs do not. So, if you want comprehensive healthcare, freedom of choice regarding doctor or hospital, no more than $200 a year for prescription drugs, taking on the drug companies and the insurance companies, moving to Medicare for All is the way to go.']"
SANDERS,"[' I believe that United States should not be the only major country on earth not to provide paid family and medical leave. I believe that every worker in this country deserves a living wage and that we expand the trade union movement. I happen to believe also that what, for me, democratic socialism means is we deal with an issue we do not discuss enough, Jorge, not in the media and not in Congress. You got three people in America owning more wealth than the bottom half of this country. You’ve got a handful of billionaires controlling what goes on in Wall Street, the insurance companies and in the media. Maybe, just maybe, what we should be doing is creating an economy that works for all of us, not 1%. That’s my understanding of democratic socialism.']"
CASTRO,"[' Not at all. We can walk and chew gum at the same time. And all of us are out there every single day, talking about what we’re going to do to make sure that more people cross the graduation stage, that more families have great healthcare, that more folks are put to work in places like Ohio where Donald Trump has broken his promises, because Ohio, Michigan, and Pennsylvania, actually, in the latest jobs data have lost jobs, not gained them. Not only that, what we have to recognize is that not only did the Mueller Report point out 10 different instances where the President obstructed justice or tried to, and he made that call to President Zelensky of the Ukraine, but he is ongoingly, in an ongoing way, violating his oath of office and abusing his power. We have to impeach this president and the majority of Americans not only support impeachment, they support removal. He should be removed.']"
KLOBUCHAR,"[' Thank you. This is the existential crisis of our time. It’s… You know that movie, The Day After Tomorrow? It’s today. We have seen a warming in our world like never before. We’re seeing flooding in the Midwest, flooding in Houston, fires in the West. And I think having someone leading the ticket from the Midwest will allow us to talk about this in a different way and get it done. On day one, I will get us back into the International Climate Change Agreement. On day two, I will bring back the Clean Power rules that President Obama had worked on. On day three, I will bring back the gas mileage standards. You can do all that without Congress, which is good. On day four, five and six, I will, working with Congress and mayors and business people all over the country, introduce sweeping legislation to get at that 2050 goal. And on day seven, you’re supposed to rest, but I won’t.']"
BOOKER,"[' And let me tell you, because marijuana in our country is already legal for privileged people. And it’s… The war on drugs has been a war on black and brown people.']"
KLOBUCHAR,"[' So my first answer to that question, and which is included in my plan, is that the people that should pay for this, that should pay for the treatment, are the very people that got people hooked and killed them in the first place, and that is the people that are manufacturing these opioids. That’s the first way, and you can with a two cents per milligram tax, bring in the money plus with the Federal Master Settlement to help in rural areas where they’re so isolated and also in urban areas where it’s, by the way, not just opioids, there are still meth issues and crack cocaine issues.']"
YANG,"[' I was an unhappy lawyer for five whole months and I left to start a business. And I’m going to share with you all one of the secrets to entrepreneurship. If you want to start something, tell everyone you know, you’re going to do it. And then you don’t have a choice, you put your heart and soul into it. And even though I did that, my company flopped, had its mini-rise and maximum fall. Lost investors hundreds of thousands of dollars, still owed $100,000 in school debt. My parents still told people I was a lawyer, guess it was a little easier. So, I remember lying on my floor looking up, wondering how it had to come to this. Eventually, I picked myself back up, I kept working in small growth companies for another 10 years, and eventually had some success.']"
YANG,"[' The best way we can fight back… The best way we can fight back against big tech companies is to say, our data is our property. Right now, our data is worth more than oil. How many of you remember getting your data check in the mail? It got lost, it went to Facebook, Amazon, Google, if we say, this is our property and we share in the gains, that’s the best way we can balance the scales against the big tech companies.']"
WARREN,"[' We have tried this experiment with the insurance companies and what they’ve done is, they’ve sucked billions of dollars out of our healthcare system, and they force people to have to fight to try to get the health care coverage that their doctors and nurses say that they need. Why does everybody, why does every doctor, why does every hospital have to fill out so many complicated forms? It’s because it gives insurance companies a chance to say no, and to push that cost back on the patients. That’s what we have to…']"
OROURKE,"[' You have some, Governor Bullock who said that we will improve the Affordable Care Act at the margins with a public option. You have others to my right, who are talking about taking away people’s choice for the private insurance they have, or members of unions. I was listening to Dee Taylor…']"
WARREN,"[' I have proposed a wealth tax, it’s now time to do that. It’s time to tax the top 1/10th of 1% of fortunes in this country. Your first $50 million you can keep free and clear, but your 50 millionth and first dollar, you gotta pitch in $0.02. Two cents. What can America do with $0.02? We can provide universal childcare for every baby in this country aged zero to five. We can provide universal pre-K for every three-year-old and four-year-old. We can raise the wages of every childcare worker and preschool teacher in this country. We can provide universal tuition-free college. We can expand Pell. We can put $50 billion into our historically black colleges and universities. And we can cancel student loan debt for 95% of the people who have it and start to close the wealth gap in America. It tells you how badly broken this economy is…']"
BOOKER,"[' I joined together and led in the United States Senate, the only major bipartisan bill to pass under this President, for criminal justice reform, that has already led to thousands of people coming out of jail. If 87 members of the United States Senate says that these sentences are way too long and we changed it, but we didn’t make it retroactive, we could literally point to the people that are in jail unjustly right now. Everyone on this stage should say that we are going to give clemency to these 17,000 people. And I challenge you, don’t just say big statements, back it up with details of the people in prison right now, looking for one of the most sacrosanct ideals of this nation, which is liberty and freedom. We need to reform this system and we must do it now. Every day we wait is too long.']"
WARREN,"[' So look, let’s be clear about this. We are the Democrats. We are not about trying to take away healthcare from anyone. That’s what the Republicans are trying to do.']"
OROURKE,"[' I think a big part of leadership and showing our commitment to the American people is delivering on our commitments. As a member of Congress, when I learned that the El Paso VA had the worst wait times for mental health care in the country, meaning that care delayed functionally became care denied, and was related to the suicide epidemic, we made it our priority, and we turned around the VA in El Paso. We took that lesson nationally, and I worked with Republican and Democratic colleagues to expand mental health care to veterans, and we got it signed into law by the one person with whom I agree on almost nothing, Donald Trump. To show that, at the end of the day, we will put the American people first before party, before any other concern.']"
WARREN,"[' Look, I put a real policy on the table to create 1.2 million new jobs in green manufacturing. There’s gonna be a $23 trillion worldwide market for this. This could revitalize huge cities across this country, and no one wants to talk about. What you wanna do instead is find the Republican talking point of a made-up piece of some other part and say, “Oh we don’t really have to do anything.” That’s the problem we’ve got in Washington right now. It continues to be a Washington that works great for oil companies, just not for people worried about climate change.']"
